Round Number,Date,Location,Home Team,Away Team,Result
8,15/02/2021 02:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
8,15/02/2021 03:00,Staples Center,Los Angeles Clippers,Cleveland Cavaliers,
8,16/02/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,
8,16/02/2021 00:00,Capital One Arena,Washington Wizards,Houston Rockets,
8,16/02/2021 00:30,Madison Square Garden,New York Knicks,Atlanta Hawks,
8,16/02/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,
8,16/02/2021 03:00,Chase Center,Golden State Warriors,Cleveland Cavaliers,
8,16/02/2021 03:00,Staples Center,Los Angeles Clippers,Miami Heat,
8,16/02/2021 03:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,
9,17/02/2021 00:00,TD Garden,Boston Celtics,Denver Nuggets,
9,17/02/2021 00:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
9,17/02/2021 00:30,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
9,17/02/2021 01:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
9,17/02/2021 01:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,
9,17/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,
9,17/02/2021 03:00,PHX Arena,Phoenix Suns,Brooklyn Nets,
9,18/02/2021 00:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,
9,18/02/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
9,18/02/2021 00:00,Amway Center,Orlando Magic,New York Knicks,
9,18/02/2021 00:00,Capital One Arena,Washington Wizards,Denver Nuggets,
9,18/02/2021 00:30,TD Garden,Boston Celtics,Atlanta Hawks,
9,18/02/2021 00:30,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,
9,18/02/2021 01:00,Target Center,Minnesota Timberwolves,Indiana Pacers,
9,18/02/2021 01:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,
9,18/02/2021 01:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,
9,18/02/2021 03:00,Chase Center,Golden State Warriors,Miami Heat,
9,18/02/2021 03:00,Staples Center,Los Angeles Clippers,Utah Jazz,
9,19/02/2021 00:30,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
9,19/02/2021 03:00,Staples Center,Los Angeles Lakers,Brooklyn Nets,
9,19/02/2021 03:00,Golden 1 Center,Sacramento Kings,Miami Heat,
9,20/02/2021 00:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,
9,20/02/2021 00:00,Amway Center,Orlando Magic,Golden State Warriors,
9,20/02/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
9,20/02/2021 00:30,TD Garden,Boston Celtics,Atlanta Hawks,
9,20/02/2021 01:00,FedExForum,Memphis Grizzlies,Detroit Pistons,
9,20/02/2021 01:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
9,20/02/2021 01:00,Target Center,Minnesota Timberwolves,Toronto Raptors,
9,20/02/2021 01:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
9,20/02/2021 02:30,Toyota Center,Houston Rockets,Dallas Mavericks,
9,20/02/2021 03:00,Staples Center,Los Angeles Clippers,Utah Jazz,
9,20/02/2021 22:00,Madison Square Garden,New York Knicks,San Antonio Spurs,
9,21/02/2021 00:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,
9,21/02/2021 01:00,United Center,Chicago Bulls,Sacramento Kings,
9,21/02/2021 01:00,Toyota Center,Houston Rockets,Indiana Pacers,
9,21/02/2021 01:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
9,21/02/2021 01:30,Staples Center,Los Angeles Lakers,Miami Heat,
9,21/02/2021 03:00,Moda Center,Portland Trail Blazers,Washington Wizards,
9,21/02/2021 20:30,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
9,21/02/2021 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,
9,21/02/2021 23:00,Amway Center,Orlando Magic,Detroit Pistons,
9,21/02/2021 23:00,Amalie Arena,Toronto Raptors,Philadelphia 76ers,
9,22/02/2021 00:00,Madison Square Garden,New York Knicks,Minnesota Timberwolves,
9,22/02/2021 00:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,
9,22/02/2021 01:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,
9,22/02/2021 01:00,Staples Center,Los Angeles Clippers,Brooklyn Nets,
9,23/02/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,San Antonio Spurs,
9,23/02/2021 01:00,Toyota Center,Houston Rockets,Chicago Bulls,
9,23/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Miami Heat,
9,23/02/2021 01:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
9,23/02/2021 02:00,PHX Arena,Phoenix Suns,Portland Trail Blazers,
9,23/02/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets,
9,23/02/2021 03:00,Staples Center,Los Angeles Lakers,Washington Wizards,
10,24/02/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
10,24/02/2021 00:00,Amway Center,Orlando Magic,Detroit Pistons,
10,24/02/2021 00:30,Barclays Center,Brooklyn Nets,Sacramento Kings,
10,24/02/2021 00:30,Madison Square Garden,New York Knicks,Golden State Warriors,
10,24/02/2021 00:30,Amalie Arena,Toronto Raptors,Philadelphia 76ers,
10,24/02/2021 00:30,American Airlines Center,Dallas Mavericks,Boston Celtics,
10,24/02/2021 01:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,
10,24/02/2021 03:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,
10,24/02/2021 03:00,Staples Center,Los Angeles Clippers,Washington Wizards,
10,25/02/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Golden State Warriors,
10,25/02/2021 00:30,State Farm Arena,Atlanta Hawks,Boston Celtics,
10,25/02/2021 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,
10,25/02/2021 00:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,
10,25/02/2021 01:00,United Center,Chicago Bulls,Minnesota Timberwolves,
10,25/02/2021 01:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,
10,25/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
10,25/02/2021 02:00,PHX Arena,Phoenix Suns,Charlotte Hornets,
10,25/02/2021 03:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,
10,26/02/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,
10,26/02/2021 00:30,Barclays Center,Brooklyn Nets,Orlando Magic,
10,26/02/2021 00:30,Madison Square Garden,New York Knicks,Sacramento Kings,
10,26/02/2021 01:00,FedExForum,Memphis Grizzlies,Los Angeles Clippers,
10,26/02/2021 02:00,Ball Arena,Denver Nuggets,Washington Wizards,
10,26/02/2021 02:30,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,
10,27/02/2021 00:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,
10,27/02/2021 00:30,TD Garden,Boston Celtics,Indiana Pacers,
10,27/02/2021 00:30,Amalie Arena,Toronto Raptors,Houston Rockets,
10,27/02/2021 01:00,AmericanAirlines Arena,Miami Heat,Utah Jazz,
10,27/02/2021 01:00,United Center,Chicago Bulls,Phoenix Suns,
10,27/02/2021 01:00,FedExForum,Memphis Grizzlies,Los Angeles Clippers,
10,27/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Atlanta Hawks,
10,27/02/2021 03:00,Chase Center,Golden State Warriors,Charlotte Hornets,
10,27/02/2021 03:00,Staples Center,Los Angeles Lakers,Portland Trail Blazers,
10,27/02/2021 20:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
10,27/02/2021 23:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,
10,28/02/2021 00:00,Madison Square Garden,New York Knicks,Indiana Pacers,
10,28/02/2021 00:00,Amway Center,Orlando Magic,Utah Jazz,
10,28/02/2021 00:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,
10,28/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,
10,28/02/2021 01:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,
10,28/02/2021 20:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Clippers,
10,28/02/2021 23:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
10,28/02/2021 23:00,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,
10,28/02/2021 23:00,Amalie Arena,Toronto Raptors,Chicago Bulls,
10,01/03/2021 00:00,TD Garden,Boston Celtics,Washington Wizards,
10,01/03/2021 00:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
10,01/03/2021 01:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
10,01/03/2021 01:00,Staples Center,Los Angeles Lakers,Golden State Warriors,
10,01/03/2021 02:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,
10,02/03/2021 00:00,Amway Center,Orlando Magic,Dallas Mavericks,
10,02/03/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
10,02/03/2021 01:00,United Center,Chicago Bulls,Denver Nuggets,
10,02/03/2021 01:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,
10,02/03/2021 01:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,
10,02/03/2021 01:30,AT&T Center,San Antonio Spurs,Brooklyn Nets,
10,02/03/2021 03:30,Moda Center,Portland Trail Blazers,Charlotte Hornets,
11,03/03/2021 00:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,
11,03/03/2021 00:30,TD Garden,Boston Celtics,Los Angeles Clippers,
11,03/03/2021 00:30,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,
11,03/03/2021 00:30,Amalie Arena,Toronto Raptors,Detroit Pistons,
11,03/03/2021 01:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
11,03/03/2021 01:30,AT&T Center,San Antonio Spurs,New York Knicks,
11,03/03/2021 03:00,Staples Center,Los Angeles Lakers,Phoenix Suns,
11,04/03/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
11,04/03/2021 00:00,Amway Center,Orlando Magic,Atlanta Hawks,
11,04/03/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,
11,04/03/2021 00:30,Toyota Center,Houston Rockets,Brooklyn Nets,
11,04/03/2021 01:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,
11,04/03/2021 01:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,
11,04/03/2021 01:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,
11,04/03/2021 03:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
11,04/03/2021 03:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
11,05/03/2021 00:00,TD Garden,Boston Celtics,Toronto Raptors,
11,05/03/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Denver Nuggets,
11,05/03/2021 00:00,Capital One Arena,Washington Wizards,Los Angeles Clippers,
11,05/03/2021 01:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,
11,05/03/2021 01:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,
11,05/03/2021 02:30,Smoothie King Center,New Orleans Pelicans,Miami Heat,
11,05/03/2021 03:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
