Round Number,Date,Location,Home Team,Away Team,Result
4,13/01/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
4,13/01/2021 03:30,Chase Center,Golden State Warriors,Indiana Pacers,
4,14/01/2021 00:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
4,14/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
4,14/01/2021 00:00,Capital One Arena,Washington Wizards,Utah Jazz,
4,14/01/2021 00:30,TD Garden,Boston Celtics,Orlando Magic,
4,14/01/2021 00:30,Madison Square Garden,New York Knicks,Brooklyn Nets,
4,14/01/2021 01:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
4,14/01/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,
4,14/01/2021 02:00,PHX Arena,Phoenix Suns,Atlanta Hawks,
4,14/01/2021 03:00,Staples Center,Los Angeles Clippers,New Orleans Pelicans,
4,14/01/2021 03:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
4,15/01/2021 00:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
4,15/01/2021 00:30,Amalie Arena,Toronto Raptors,Charlotte Hornets,
4,15/01/2021 01:30,AT&T Center,San Antonio Spurs,Houston Rockets,
4,15/01/2021 03:00,Ball Arena,Denver Nuggets,Golden State Warriors,
4,15/01/2021 03:00,Moda Center,Portland Trail Blazers,Indiana Pacers,
4,16/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
4,16/01/2021 00:30,TD Garden,Boston Celtics,Orlando Magic,
4,16/01/2021 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
4,16/01/2021 00:30,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,
4,16/01/2021 01:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
4,16/01/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,
4,16/01/2021 02:00,PHX Arena,Phoenix Suns,Golden State Warriors,
4,16/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Atlanta Hawks,
4,16/01/2021 03:00,Staples Center,Los Angeles Lakers,New Orleans Pelicans,
4,16/01/2021 03:00,Golden 1 Center,Sacramento Kings,Los Angeles Clippers,
4,16/01/2021 22:00,AT&T Center,San Antonio Spurs,Houston Rockets,
4,16/01/2021 23:00,Barclays Center,Brooklyn Nets,Orlando Magic,
4,17/01/2021 00:30,Amalie Arena,Toronto Raptors,Charlotte Hornets,
4,17/01/2021 01:00,AmericanAirlines Arena,Miami Heat,Detroit Pistons,
4,17/01/2021 01:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,
4,17/01/2021 02:00,PHX Arena,Phoenix Suns,Indiana Pacers,
4,17/01/2021 03:00,Moda Center,Portland Trail Blazers,Atlanta Hawks,
4,17/01/2021 18:00,TD Garden,Boston Celtics,New York Knicks,
4,17/01/2021 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
4,17/01/2021 20:00,American Airlines Center,Dallas Mavericks,Chicago Bulls,
4,18/01/2021 00:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,
4,18/01/2021 01:00,Ball Arena,Denver Nuggets,Utah Jazz,
4,18/01/2021 02:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
4,18/01/2021 03:00,Staples Center,Los Angeles Clippers,Indiana Pacers,
